Person Username,Assessment Exam ID,Assessment Completion Date,Assessment Title,Assessment Content Format,Assessment Attempt Number,Assessment Attempt Summary Status,Assessment Attempt Summary Score,Assessment Topic Name,Question Id,Assessment Question Type,Assessment Question Text,Assessment Question Tags,Assessment Question Response,Assessment Question Correct Answer,Assessment Question Result,Transcript Internal ID
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_658848,Multiple Choice,"Client, Client A, is looking to take $X,XXX cash out of her home, which does not meet minimum loan requirements. Is it acceptable to suggest she take more cash out to meet the minimum loan requirements, and use the additional funds to make a large principal payment and complete a recast?",,No,No,Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_361255,All That Apply,"Client, Client B, is 85 years old and applying for a cash out refinance which he initially states is for home renovations. As you're discussing income with Sam, he mentions he currently only has Social Security income, but that would be ""changing in the future."" After you ask Sam for more details, Sam states he was recently randomly notified that he won the Contest Organization Sweepstakes and would be receiving $X,XXX.5 million dollars and a new car after he sends them money to pay for the taxes on his winnings. Select the reasons below why you should submit this scenario to DTRT.",,"Sam is 85 years old and was randomly notified he won Publishers Clearing House Sweepstakes, which is a common lottery scam fraud technique victimizing the elderly that originates out of Country A. ,Sam disclosed that he needs to send money to Publishers Clearing House to pay for taxes in order to receive the winnings.","Sam is 85 years old and was randomly notified he won Publishers Clearing House Sweepstakes, which is a common lottery scam fraud technique victimizing the elderly that originates out of Country A. ,Sam disclosed that he needs to send money to Publishers Clearing House to pay for taxes in order to receive the winnings. ",Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_263916,All That Apply,"Client, Client C, is an 89 year old widow, looking to take max cash out of her free and clear home which she pad off in 1988. She mentions briefly that she is using the cash for kitchen renovations but seems hesitant to provide much information beyond that. During your conversations with Tonya, she mentions she has a new fiancé that she met online. In conversing further on this, you uncover Tonya has never actually met her new fiancé in person and that the fiancé is overseas but coming to America soon once Tonya gets some cash. She also asks multiple times how quickly she can close and receive the funds. Select the reasons below you should submit this scenario to DTRT.",,"Tonya is 89 years old, a widow, and disclosed she met her new fiancé online, a common romance scam fraud technique victimizing the elderly that originates primarily out of Country B and Country C. ,Tonya is in a rush to close and get the funds and seems hesitant to discuss reasoning for the cash out. She mentions kitchen renovations but later references the online fiancé will be back in America as soon as she gets some cash. ,You uncovered Tonya has never actually met her fiancé in person and the relationship has only been online which is a common tactic in romance scam fraud schemes.","Tonya is 89 years old, a widow, and disclosed she met her new fiancé online, a common romance scam fraud technique victimizing the elderly that originates primarily out of Country B and Country C. ,Tonya is in a rush to close and get the funds and seems hesitant to discuss reasoning for the cash out. She mentions kitchen renovations but later references the online fiancé will be back in America as soon as she gets some cash. ,You uncovered Tonya has never actually met her fiancé in person and the relationship has only been online which is a common tactic in romance scam fraud schemes. ",Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_107584,Multiple Choice,"Client, Client D, was hired 3 months ago as a 1099 contracted Marketing Specialist with Marketing Company Inc. Prior to this, she was a Fast Food Chain Crew Member, receiving W2 income. You inform Laura that the income is ineligible due to not having the 2-year required history for 1099 income. Laura calls back the next day, and states that she could get her boss to switch her to a W2 employee so that she could use the income. How should you proceed?",,"Advise Laura that we cannot qualify her with the W2 income since she's trying to convert solely for loan qualification purposes, which causes income stability issues and is misrepresentation.","Advise Laura that we cannot qualify her with the W2 income since she's trying to convert solely for loan qualification purposes, which causes income stability issues and is misrepresentation. ",Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_936607,Multiple Choice,"Client, Client E, is looking to take $X,XXX cash out of the subject property to purchase a new home. During conversations, Steve asks about early payoff penalties, stating that they are getting ready to list the subject property for sale, expecting to sell within the next 3 months. How should you proceed?",,Advise that the transaction is ineligible as we do not offer short-term financing.,Advise that the transaction is ineligible as we do not offer short-term financing. ,Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_620099,Multiple Choice,"Client, Client F, is completing a cash out refinance on their investment property. He provided a lease agreement to qualify with $X,XXX monthly rental income from their son who occupies the subject. You find Dave is unable to qualify due to high DTI. The next day, Dave states that he can adjust the lease agreement to $X,XXX per month in rent to qualify and provides the updated lease agreement. How should you proceed?",,Inform Dave that we are unable to use the updated lease agreement/rental income since it's being misrepresented and increased solely to qualify.,Inform Dave that we are unable to use the updated lease agreement/rental income since it's being misrepresented and increased solely to qualify. ,Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_431673,Multiple Choice,"Client, Client G, is seeking a cash out refinance of the subject property in State B. Cassie's employer is located in State C. When you asked if she was able to work remotely, Cassie disclosed that she works at their headquarters in State C but comes home to State B a few times a year to visit her best friend who occupies the subject full-time. How should you proceed?",,"Structure the loan as an investment since Cassie lives primarily in State C, while her best friend occupies the subject full time.","Structure the loan as an investment since Cassie lives primarily in State C, while her best friend occupies the subject full time.",Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_966574,All That Apply,"Documentation to satisfy the DTRT/Data Verify occupancy requirements are: cable bill, cell/home phone bill, internet bill, and moving receipts. From below, select the three answers that are acceptable surrounding these documents. Hint: Use Internal System's primary resident guideline page for assistance.",,"The document is dated one week prior to the application date. ,The mailing address is a PO Box in the subject city and service address is the subject property. ,The document is in the non-borrowing spouse's (NBS) name.","The mailing address is a PO Box in the subject city and service address is the subject property. ,The document is dated one week prior to the application date. ,The document is in the non-borrowing spouse's (NBS) name. ",Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_595705,Multiple Choice,"When discussing funds to close, your client Client H, discloses that he would be using $X,XXX cash on hand which he keeps in his safe at home. Which of the following is an appropriate action?",,Tell Vince the cash is not eligible to be used as it's cash on hand.,Tell Vince the cash is not eligible to be used as it's cash on hand. ,Correct,TRANS_E3583854
USER_112452,,13-May-25,Compliance Training Assessment #1,Test,1,Passed,100,Compliance Training Assessment #1,Q_918393,Multiple Choice,"You're on the application call with client, Client I, who is 75 years old, widowed, and taking $X,XXX cash out of her free and clear primary residence. During the call, Client I mentions being coerced into taking out the money. You inquire about this further with Client I since it's a major red flag. Client I then states she is being forced to take out the cash to send to her fiancé in Country B. What action should you take?",,Consult with your leader and submit a DTRT due to the presence of romance scam red flags.,Consult with your leader and submit a DTRT due to the presence of romance scam red flags. ,Correct,TRANS_E3583854
